day,hour,value
Monday,0,53.05061082024433
Monday,1,43.19895287958115
Monday,2,40.62652705061082
Monday,3,17.37347294938918
Monday,4,18.724258289703315
Monday,5,26.479930191972077
Monday,6,37.00174520069808
Monday,7,26.008726003490402
Monday,8,26.401396160558463
Monday,9,47.53403141361257
Monday,10,61.05759162303665
Monday,11,90.02966841186736
Monday,12,81.9912739965096
Monday,13,93.45026178010471
Monday,14,75.56195462478185
Monday,15,67.45375218150087
Monday,16,62.30715532286213
Monday,17,94.22862129144852
Monday,18,80.95113438045375
Monday,19,90.57591623036649
Monday,20,77.15008726003491
Monday,21,85.24083769633508
Monday,22,61.045375218150085
Monday,23,50.30017452006981
Tuesday,0,45.84293193717277
Tuesday,1,38.56195462478185
Tuesday,2,34.33682373472949
Tuesday,3,25.020942408376964
Tuesday,4,21.020942408376964
Tuesday,5,25.535776614310645
Tuesday,6,24.36998254799302
Tuesday,7,22.418848167539267
Tuesday,8,35.003490401396164
Tuesday,9,36.43280977312391
Tuesday,10,59.99301919720768
Tuesday,11,67.80628272251309
Tuesday,12,70.77661431064573
Tuesday,13,83.7260034904014
Tuesday,14,73.73996509598604
Tuesday,15,64.24083769633508
Tuesday,16,53.47993019197207
Tuesday,17,56.47643979057592
Tuesday,18,89.06282722513089
Tuesday,19,105.9825479930192
Tuesday,20,77.81326352530542
Tuesday,21,59.41884816753927
Tuesday,22,50.42582897033159
Tuesday,23,52.296684118673646
Friday,0,38.93019197207679
Friday,1,54.024432809773124
Friday,2,45.28446771378709
Friday,3,29.153577661431065
Friday,4,35.88132635253054
Friday,5,27.280977312390924
Friday,6,31.24258289703316
Friday,7,30.94415357766143
Friday,8,32.49912739965096
Friday,9,53.34904013961606
Friday,10,65.74694589877836
Friday,11,65.04537521815008
Friday,12,79.09598603839441
Friday,13,87.44851657940663
Friday,14,78.30191972076788
Friday,15,84.9825479930192
Friday,16,72.4328097731239
Friday,17,62.43979057591623
Friday,18,90.65794066317626
Friday,19,104.51832460732984
Friday,20,93.35078534031413
Friday,21,103.03141361256544
Friday,22,83.50261780104712
Friday,23,56.94240837696335
Wednesday,0,56.544502617801044
Wednesday,1,43.3717277486911
Wednesday,2,24.547993019197207
Wednesday,3,28.329842931937172
Wednesday,4,20.219895287958114
Wednesday,5,24.31239092495637
Wednesday,6,25.158813263525307
Wednesday,7,21.539267015706805
Wednesday,8,30.26876090750436
Wednesday,9,62.595113438045374
Wednesday,10,78.15008726003491
Wednesday,11,74.59860383944154
Wednesday,12,85.85689354275742
Wednesday,13,106.87434554973822
Wednesday,14,92.32460732984293
Wednesday,15,70.08551483420594
Wednesday,16,53.63350785340314
Wednesday,17,53.795811518324605
Wednesday,18,68.60383944153578
Wednesday,19,82.42757417102966
Wednesday,20,63.54101221640489
Wednesday,21,83.9458987783595
Wednesday,22,61.026178010471206
Wednesday,23,45.525305410122165
Thursday,0,41.5043630017452
Thursday,1,41.82024432809773
Thursday,2,37.18324607329843
Thursday,3,29.462478184991273
Thursday,4,26.827225130890053
Thursday,5,24.8760907504363
Thursday,6,21.472949389179757
Thursday,7,20.57242582897033
Thursday,8,38.09947643979058
Thursday,9,45.82722513089005
Thursday,10,63.65794066317626
Thursday,11,57.77312390924956
Thursday,12,114.84293193717278
Thursday,13,117.33682373472949
Thursday,14,84.3979057591623
Thursday,15,93.98952879581152
Thursday,16,72.18673647469458
Thursday,17,71.36474694589877
Thursday,18,71.53403141361257
Thursday,19,75.91797556719023
Thursday,20,62.16579406631762
Thursday,21,59.38743455497382
Thursday,22,57.47993019197207
Thursday,23,47.712041884816756
Sunday,0,67.87260034904014
Sunday,1,55.55497382198953
Sunday,2,30.56893542757417
Sunday,3,33.64223385689354
Sunday,4,22.13961605584642
Sunday,5,27.62652705061082
Sunday,6,26.73821989528796
Sunday,7,21.87783595113438
Sunday,8,22.41710296684119
Sunday,9,37.909249563699824
Sunday,10,71.53752181500873
Sunday,11,82.94764397905759
Sunday,12,88.30191972076788
Sunday,13,82.50261780104712
Sunday,14,92.3979057591623
Sunday,15,92.87434554973822
Sunday,16,94.70331588132635
Sunday,17,97.94066317626528
Sunday,18,118.0977312390925
Sunday,19,96.13961605584642
Sunday,20,89.94764397905759
Sunday,21,62.28446771378709
Sunday,22,80.77137870855148
Sunday,23,45.38743455497382
Saturday,0,57.146596858638745
Saturday,1,42.4869109947644
Saturday,2,29.5043630017452
Saturday,3,26.88307155322862
Saturday,4,15.104712041884817
Saturday,5,27.42059336823735
Saturday,6,20.270506108202444
Saturday,7,20.162303664921467
Saturday,8,21.94764397905759
Saturday,9,44.8411867364747
Saturday,10,44.075043630017454
Saturday,11,57.0977312390925
Saturday,12,60.50261780104712
Saturday,13,67.84991273996509
Saturday,14,63.8848167539267
Saturday,15,92.11343804537522
Saturday,16,82.49214659685863
Saturday,17,82.62478184991274
Saturday,18,97.9458987783595
Saturday,19,99.50087260034904
Saturday,20,84.09598603839441
Saturday,21,89.3280977312391
Saturday,22,91.26701570680628
Saturday,23,92.67015706806282
