date,day,steps
2014-09-26,Friday,5073
2014-09-27,Saturday,3470
2014-09-28,Sunday,7142
2014-09-29,Monday,9676
2014-09-30,Tuesday,12534
2014-10-01,Wednesday,9733
2014-10-02,Thursday,6488
2014-10-03,Friday,12335
2014-10-04,Saturday,8118
2014-10-05,Sunday,6959
2014-10-06,Monday,10612
2014-10-07,Tuesday,8229
2014-10-08,Wednesday,8000
2014-10-09,Thursday,8931
2014-10-10,Friday,14918
2014-10-11,Saturday,7982
2014-10-12,Sunday,6057
2014-10-13,Monday,7840
2014-10-14,Tuesday,8238
2014-10-15,Wednesday,11464
2014-10-16,Thursday,6866
2014-10-17,Friday,12483
2014-10-18,Saturday,6698
2014-10-19,Sunday,8921
2014-10-20,Monday,11527
2014-10-21,Tuesday,8905
2014-10-22,Wednesday,7320
2014-10-23,Thursday,6733
2014-10-24,Friday,15687
2014-10-25,Saturday,6826
2014-10-26,Sunday,7180
2014-10-27,Monday,9748
2014-10-28,Tuesday,7492
2014-10-29,Wednesday,10306
2014-10-30,Thursday,7350
2014-10-31,Friday,12084
2014-11-01,Saturday,5038
2014-11-02,Sunday,5269
2014-11-03,Monday,10327
2014-11-04,Tuesday,7573
2014-11-05,Wednesday,7984
2014-11-06,Thursday,4752
2014-11-07,Friday,11842
2014-11-08,Saturday,6972
2014-11-09,Sunday,6134
2014-11-10,Monday,5650
2014-11-11,Tuesday,10115
2014-11-12,Wednesday,7931
2014-11-13,Thursday,9059
2014-11-14,Friday,11641
2014-11-15,Saturday,3943
2014-11-16,Sunday,5566
2014-11-17,Monday,5492
2014-11-18,Tuesday,4737
2014-11-19,Wednesday,6594
2014-11-20,Thursday,7759
2014-11-21,Friday,12367
2014-11-22,Saturday,14398
2014-11-23,Sunday,5546
2014-11-24,Monday,5286
2014-11-25,Tuesday,5548
2014-11-26,Wednesday,3519
2014-11-27,Thursday,2396
2014-11-28,Friday,4503
2014-11-29,Saturday,7969
2014-11-30,Sunday,8414
2014-12-01,Monday,6438
2014-12-02,Tuesday,6248
2014-12-03,Wednesday,7080
2014-12-04,Thursday,7859
2014-12-05,Friday,9045
2014-12-06,Saturday,5348
2014-12-07,Sunday,9130
2014-12-08,Monday,7349
2014-12-09,Tuesday,6832
2014-12-10,Wednesday,4275
